"","VALUE","YEAR","DIST_TYPE","SEVERITY","sumcount","ACRES"
"381",32,2011,"Wildfire","Low",19,4.2254955
"382",33,2011,"Wildfire","Medium",16,3.558312
"383",34,2011,"Wildfire","High",13,2.8911285
"384",111,2011,"Wildfire","Unburned/Low",14071,3129.3130095
"385",112,2011,"Wildfire","Low",22394,4980.302433
"386",113,2011,"Wildfire","Medium",31426,6988.969557
"387",115,2011,"Wildfire","Increased Green",6,1.334367
"388",211,2011,"Wildfire","Unburned/Low",6,1.334367
"389",212,2011,"Wildfire","Low",110,24.463395
"390",213,2011,"Wildfire","Medium",5,1.1119725
"391",461,2011,"Other Mechanical","Low",2191,487.2663495
"392",462,2011,"Other Mechanical","Medium",66,14.678037
"393",463,2011,"Other Mechanical","High",14,3.113523
"394",471,2011,"Wildfire","Low",45020,10012.20039
"395",472,2011,"Wildfire","Medium",4109,913.8190005
"396",473,2011,"Wildfire","High",4035,897.3618075
"397",491,2011,"Prescribed Fire","Low",3533,785.7197685
"398",492,2011,"Prescribed Fire","Medium",155,34.4711475
"399",493,2011,"Prescribed Fire","High",10,2.223945
"400",701,2011,"Unknown","Low",771,171.4661595
"401",702,2011,"Unknown","Medium",19,4.2254955
"402",761,2011,"Other Mechanical","Low",394,87.623433
"403",762,2011,"Other Mechanical","Medium",64,14.233248
"404",763,2011,"Other Mechanical","High",9,2.0015505
"405",771,2011,"Wildfire","Low",1540,342.48753
"406",772,2011,"Wildfire","Medium",321,71.3886345
"407",773,2011,"Wildfire","High",101,22.4618445
"408",791,2011,"Prescribed Fire","Low",244,54.264258
"409",792,2011,"Prescribed Fire","Medium",15,3.3359175
"410",793,2011,"Prescribed Fire","High",2,0.444789
"411",961,2011,"Other Mechanical","Low",5126,1139.994207
"412",971,2011,"Wildfire","Low",121102,26932.418739
"413",991,2011,"Prescribed Fire","Low",2208,491.047056
"414",1111,2011,"Unknown","Low",70,15.567615
"415",1112,2011,"Unknown","Medium",25,5.5598625
"416",1113,2011,"Unknown","High",36,8.006202
"417",1121,2011,"Unknown","Low",1967,437.4499815
"418",1122,2011,"Unknown","Medium",556,123.651342
"419",1123,2011,"Unknown","High",241,53.5970745
"420",1131,2011,"Unknown","Low",5164,1148.445198
"421",1132,2011,"Unknown","Medium",523,116.3123235
"422",1133,2011,"Unknown","High",162,36.027909
"423",11,2012,"Wildfire","Unburned/Low",18764,4173.010398
"424",12,2012,"Wildfire","Low",131441,29231.7554745
"425",13,2012,"Wildfire","Medium",47878,10647.803871
"426",16,2012,"Wildfire","NA",13,2.8911285
"427",111,2012,"Wildfire","Unburned/Low",1100,244.63395
"428",112,2012,"Wildfire","Low",7561,1681.5248145
"429",113,2012,"Wildfire","Medium",2126,472.810707
"430",212,2012,"Wildfire","Low",1011,224.8408395
"431",441,2012,"Thinning","Low",1541,342.7099245
"432",442,2012,"Thinning","Medium",48,10.674936
"433",443,2012,"Thinning","High",2,0.444789
"434",461,2012,"Other Mechanical","Low",5939,1320.8009355
"435",462,2012,"Other Mechanical","Medium",81,18.0139545
"436",463,2012,"Other Mechanical","High",1,0.2223945
"437",471,2012,"Wildfire","Low",20398,4536.403011
"438",472,2012,"Wildfire","Medium",1086,241.520427
"439",473,2012,"Wildfire","High",192,42.699744
"440",491,2012,"Prescribed Fire","Low",9832,2186.582724
"441",492,2012,"Prescribed Fire","Medium",906,201.489417
"442",493,2012,"Prescribed Fire","High",106,23.573817
"443",601,2012,"Unknown","Low",451,100.2999195
"444",602,2012,"Unknown","Medium",114,25.352973
"445",603,2012,"Unknown","High",2,0.444789
"446",701,2012,"Unknown","Low",136,30.245652
"447",741,2012,"Thinning","Low",34,7.561413
"448",761,2012,"Other Mechanical","Low",93,20.6826885
"449",762,2012,"Other Mechanical","Medium",5,1.1119725
"450",763,2012,"Other Mechanical","High",14,3.113523
"451",771,2012,"Wildfire","Low",20,4.44789
"452",772,2012,"Wildfire","Medium",23,5.1150735
"453",773,2012,"Wildfire","High",5,1.1119725
"454",791,2012,"Prescribed Fire","Low",10,2.223945
"455",941,2012,"Thinning","Low",2854,634.713903
"456",961,2012,"Other Mechanical","Low",26612,5918.362434
"457",971,2012,"Wildfire","Low",141977,31574.9039265
"458",991,2012,"Prescribed Fire","Low",21882,4866.436449
"459",1101,2012,"Unknown","Low",18,4.003101
"460",1102,2012,"Unknown","Medium",9,2.0015505
"461",1103,2012,"Unknown","High",1,0.2223945
"462",1111,2012,"Unknown","Low",29,6.4494405
"463",1112,2012,"Unknown","Medium",70,15.567615
"464",1113,2012,"Unknown","High",20,4.44789
"465",1121,2012,"Unknown","Low",1355,301.3445475
"466",1122,2012,"Unknown","Medium",738,164.127141
"467",1123,2012,"Unknown","High",301,66.9407445
